U,tprime,dm,
0.0,0.1,2.711198106e-07,
0.0,0.11034482758620691,6.555376811e-07,
0.0,0.1206896551724138,6.557896132e-07,
0.0,0.1310344827586207,6.557897783e-07,
0.0,0.1413793103448276,6.557897784e-07,
0.0,0.1517241379310345,6.557897784e-07,
0.0,0.1620689655172414,6.557897784e-07,
0.0,0.1724137931034483,6.557897784e-07,
0.0,0.1827586206896552,6.557897784e-07,
0.0,0.1931034482758621,6.557897784e-07,
0.0,0.20344827586206898,6.557897784e-07,
0.0,0.2137931034482759,6.557897784e-07,
0.0,0.2241379310344828,6.557897784e-07,
0.0,0.23448275862068968,6.557897784e-07,
0.0,0.24482758620689657,6.557897784e-07,
0.0,0.2551724137931035,6.557897784e-07,
0.0,0.2655172413793104,6.557897784e-07,
0.0,0.27586206896551724,6.557897784e-07,
0.0,0.28620689655172415,6.557897784e-07,
0.0,0.29655172413793107,6.557897784e-07,
0.0,0.306896551724138,6.557897784e-07,
0.0,0.3172413793103449,6.557897784e-07,
0.0,0.32758620689655177,6.557897784e-07,
0.0,0.33793103448275863,6.557897784e-07,
0.0,0.34827586206896555,6.557897784e-07,
0.0,0.35862068965517246,6.557897784e-07,
0.0,0.3689655172413794,6.557897784e-07,
0.0,0.3793103448275863,6.557897784e-07,
0.0,0.3896551724137931,6.557897784e-07,
0.0,0.4,6.557897784e-07,
0.1724137931034483,0.1,1.73944643012e-05,
0.1724137931034483,0.11034482758620691,4.311710048e-07,
0.1724137931034483,0.1206896551724138,4.038659992e-07,
0.1724137931034483,0.1310344827586207,2.3769042032e-05,
0.1724137931034483,0.1413793103448276,4.357391546e-07,
0.1724137931034483,0.1517241379310345,7.910985e-07,
0.1724137931034483,0.1620689655172414,7.616027936e-07,
0.1724137931034483,0.1724137931034483,1.86658812231e-05,
0.1724137931034483,0.1827586206896552,5.50083373936e-05,
0.1724137931034483,0.1931034482758621,1.98269023584e-05,
0.1724137931034483,0.20344827586206898,6.9942763e-07,
0.1724137931034483,0.2137931034482759,6.724330069e-07,
0.1724137931034483,0.2241379310344828,6.567191872e-07,
0.1724137931034483,0.23448275862068968,4.93342325518e-05,
0.1724137931034483,0.24482758620689657,3.41335101899e-05,
0.1724137931034483,0.2551724137931035,2.60148390803e-05,
0.1724137931034483,0.2655172413793104,5.17104735e-07,
0.1724137931034483,0.27586206896551724,6.01290734e-07,
0.1724137931034483,0.28620689655172415,5.917054936e-07,
0.1724137931034483,0.29655172413793107,1.85906214935e-05,
0.1724137931034483,0.306896551724138,2.3447505855e-06,
0.1724137931034483,0.3172413793103449,5.1271641045e-06,
0.1724137931034483,0.32758620689655177,5.3640520833e-05,
0.1724137931034483,0.33793103448275863,5.823695033e-07,
0.1724137931034483,0.34827586206896555,5.458444861e-07,
0.1724137931034483,0.35862068965517246,5.403577237e-07,
0.1724137931034483,0.3689655172413794,5.33517026e-07,
0.1724137931034483,0.3793103448275863,1.32227546658e-05,
0.1724137931034483,0.3896551724137931,5.691159076e-07,
0.1724137931034483,0.4,1.77963919581e-05,
0.3448275862068966,0.1,1.96313367385e-05,
0.3448275862068966,0.11034482758620691,7.650083226e-07,
0.3448275862068966,0.1206896551724138,6.829539393e-07,
0.3448275862068966,0.1310344827586207,2.61614139554e-05,
0.3448275862068966,0.1413793103448276,7.019877277e-07,
0.3448275862068966,0.1517241379310345,5.382400663e-07,
0.3448275862068966,0.1620689655172414,9.882741662e-07,
0.3448275862068966,0.1724137931034483,2.06087400503e-05,
0.3448275862068966,0.1827586206896552,6.03212483026e-05,
0.3448275862068966,0.1931034482758621,2.17191878298e-05,
0.3448275862068966,0.20344827586206898,8.189592935e-07,
0.3448275862068966,0.2137931034482759,7.697868829e-07,
0.3448275862068966,0.2241379310344828,7.33822996e-07,
0.3448275862068966,0.23448275862068968,5.33692341158e-05,
0.3448275862068966,0.24482758620689657,3.69139267401e-05,
0.3448275862068966,0.2551724137931035,2.80160627329e-05,
0.3448275862068966,0.2655172413793104,5.835877937e-07,
0.3448275862068966,0.27586206896551724,6.450859226e-07,
0.3448275862068966,0.28620689655172415,5.935270263e-07,
0.3448275862068966,0.29655172413793107,1.99006339769e-05,
0.3448275862068966,0.306896551724138,2.4760221608e-06,
0.3448275862068966,0.3172413793103449,5.4143776158e-06,
0.3448275862068966,0.32758620689655177,5.71302008525e-05,
0.3448275862068966,0.33793103448275863,5.458687594e-07,
0.3448275862068966,0.34827586206896555,5.028941001e-07,
0.3448275862068966,0.35862068965517246,4.925420132e-07,
0.3448275862068966,0.3689655172413794,4.917308849e-07,
0.3448275862068966,0.3793103448275863,1.37748855276e-05,
0.3448275862068966,0.3896551724137931,5.221880831e-07,
0.3448275862068966,0.4,1.87404899683e-05,
0.5172413793103449,0.1,7.40739941651e-05,
0.5172413793103449,0.11034482758620691,9.00128845e-07,
0.5172413793103449,0.1206896551724138,1.2584860421e-06,
0.5172413793103449,0.1310344827586207,2.99062626694e-05,
0.5172413793103449,0.1413793103448276,7.731306952e-07,
0.5172413793103449,0.1517241379310345,8.852577366e-07,
0.5172413793103449,0.1620689655172414,7.813122535e-07,
0.5172413793103449,0.1724137931034483,2.25204816301e-05,
0.5172413793103449,0.1827586206896552,6.62808407512e-05,
0.5172413793103449,0.1931034482758621,2.41030960503e-05,
0.5172413793103449,0.20344827586206898,1.0597711822e-06,
0.5172413793103449,0.2137931034482759,9.732793388e-07,
0.5172413793103449,0.2241379310344828,9.052299728e-07,
0.5172413793103449,0.23448275862068968,5.81922695472e-05,
0.5172413793103449,0.24482758620689657,4.03010468779e-05,
0.5172413793103449,0.2551724137931035,3.04210901491e-05,
0.5172413793103449,0.2655172413793104,9.7688135981e-05,
0.5172413793103449,0.27586206896551724,8.527359423e-07,
0.5172413793103449,0.28620689655172415,6.55418628e-07,
0.5172413793103449,0.29655172413793107,2.14167206094e-05,
0.5172413793103449,0.306896551724138,2.7013524254e-06,
0.5172413793103449,0.3172413793103449,5.7992848605e-06,
0.5172413793103449,0.32758620689655177,6.11676947972e-05,
0.5172413793103449,0.33793103448275863,5.619150105e-07,
0.5172413793103449,0.34827586206896555,5.082877556e-07,
0.5172413793103449,0.35862068965517246,9.838761094e-07,
0.5172413793103449,0.3689655172413794,9.708322863e-07,
0.5172413793103449,0.3793103448275863,1.4823565453e-05,
0.5172413793103449,0.3896551724137931,5.272850703e-07,
0.5172413793103449,0.4,2.03602216793e-05,
0.6896551724137931,0.1,8.75631126977e-05,
0.6896551724137931,0.11034482758620691,1.3407588659e-06,
0.6896551724137931,0.1206896551724138,1.0823979619e-06,
0.6896551724137931,0.1310344827586207,3.43802717271e-05,
